EAJCMPPOAHM GetPlayerTokenReq
MLANCMKEABJ account_token
FHMPDILHMCP is_guest
EILIBCHDGMC client_ip_str
KDEKMACDOAD GetPlayerTokenRsp
POBCNLNLACJ finish_collection_id_list
GNGHJKLOFJL PlatformType
FMJIHKHGACJ platform_type
LBEBJLCGLNM uid
PKABPGLMNPH nickname
FNOKBFGPGMB level
JOLDMFCLFAL avatar_id
JDJKMNCIIJB signature
PEMGBEBKBFC birthday
PEFGMDMPFOL Birthday
ODBKANBHGIF world_level
HOKABFGBMOD reserved_list
HAHCMCDBFHL online_state
JLDEIDJGHNF FriendOnlineState
FDKHLJAFNHA param
AIFODAMJKPJ is_friend
JMGDIOALDAE is_mp_mode_available
BHLDGAAKAMA online_id
FHKANFOIMID name_card_id
HHLFHPAOMJD is_in_blacklist
BGPAGKMIINC is_chat_no_disturb
DCAGEKKIJGN remark_name
EHPONNAONAK finish_achievement_num
CMFCNGGGKEA tower_floor_index
LFPJEKGKPPA tower_level_index
LLKFGILODOE is_show_avatar
CCENHEFAHPJ show_avatar_info_list
OGPEOCEIDME SocialShowAvatarInfo
MAIMFOEBEJO show_name_card_id_list
OPOFMFGOGFC friend_enter_home_option
NDBBCDBFPEC FriendEnterHomeOption
CDHAIBKICMF ProfilePicture
PCICEHMMABC profile_picture
MNIAPMANGEA ip_code
KKMKGFAMKMG data_version
NCHNJCINHCC country_code
BNHGFIPLPAF key_id
NKFONJFJCJL is_finished
EEAKGEGIHNB client_rand_key
CBHMHLLPJGM RegionInfo
IDFECFCIPOE gateserver_ip
HDMOPJCNGNE gateserver_port
LIAFHMNHBDL area_type
ELKELEHMKCP client_data_version
CLBEIGNEFKL client_silence_data_version
PPBAFLOBEII res_version_config
HIJBAHPFABI secret_key
PFIBPMFDMEN client_version_suffix
PAHGLLJDAFA client_silence_version_suffix
MDKJHFNENMG next_resource_url
DKHDGIIIILD next_res_version_config
HIKDOMEMACC game_biz
MHFJILCAPLK ResVersionConfig
BPBBAPKJNMF extra_bin_data
GDDBDEOONFK PlayerLoginReq
MAHPCBCGBHF token
BOOAELHHOCO security_cmd_buffer
OHKJGJAFKPP secret_key_seed

MIIKNNNMBLN StopServerInfo
CFINJKJBMNC url
IJOKBIMLKJJ stop_server

OPBICDKGOKJ PlayerLoginRsp
ICBFEBHINLK BlockInfo
LLOFCAKBHNP block_info_map
HMOIAPCBCGM PropValue
AIJEGKPOKCG type
CLGNKCBBPHB val
IIEJJPJCKHH value
LGHDMEMHIMM PlayerDataNotify
NOCIGEBHGJF prop_map
DCIDEBDOBOG is_first_login_today
BMDACNPFMCP region_id
IBMHKNAPCNA server_time
EHGFPLEAFKO nick_name

OCMDDCMPAOO AvatarDataNotify
LIHHCBNEGFA AvatarInfo
MOGHNDGADHI AvatarRenameInfo
HHPKPGCIEFA AvatarTeam
HPGLIMOHBGM avatar_team_map
NFHFICHHHDF temp_avatar_guid_list
NKNPJDEHOCN avatar_rename_list
DOIMOELNDEN avatar_list
BMIFDFBBMNM backup_avatar_team_order_list
AJICCPGJFPF avatar_guid_list
GMPEMGLCAIE team_name
MEGAGKFBKOI guid
PHGDEODBMLI life_state
KMFKILGGLMK equip_guid_list
HKHMPJENKJP talent_id_list
GKJLBIMGILA fight_prop_map
KDKDGLJAHEL TrialAvatarInfo
JDEDIHDELBK AvatarSkillInfo
GKEEPICHOJG skill_map
OFECIIKFMFM skill_depot_id
EJOOBBMACAJ AvatarFetterInfo
PGCPJHBIOHG fetter_info
BOPBGIIDMOA core_proud_skill_level
LLEMAECHCLD inherent_proud_skill_list
OEGGOLBAPKL skill_level_map
MICMALEIADJ AvatarExpeditionState
OAFBFNHFNAG expedition_state
EOICFLKNDDB proud_skill_extra_level_map
FEPCIHLCOOE is_focus
BPGALJBJFGG avatar_type
LABLGODGMCJ team_resonance_list
DFELBBOPCEG wearing_flycloak_id
DHDMLOFNHNI AvatarEquipAffixInfo
FLEOFCLKNNN equip_affix_list
BKOLJJHBIEO born_time
DGJGCAIEMFI pending_promote_reward_list
ODAIOHIMOFM costume_id
NCCFCLHEJCL AvatarExcelInfo
EGAMHIPADML excel_info
LAALNNBEBJE anim_hash
FKIMONAIDPE MirrorAvatarInfo
PDJNCFEDFFC mirror_avatar_info
AKLCDBLPNFH trace_effect_id
AALNPONCIHF Item
DJIBGMCFKAN trial_avatar_id
KBGLNPHNCGI TrialAvatarGrantRecord
EAGKKHACOEE trial_equip_list
MBMIEENHNBE grant_record
CELGONLFJLP item_id
PKCPIBNIGPB detail
GBAFKKCLEGE Material
PFPPNLAMJFG Equip
ONBLNJPCCHL Furniture
KDDFBNOLILC count
GDFENIJNLHK delete_info
FIEFPGBALNM MaterialDeleteInfo
PJMCGKGNGFD has_delete_config
KDHEDNPFFCC CountDownDelete
HLDNGGFCOHA DateTimeDelete
NLPENJECGDE DelayWeekCountDownDelete
HMKMPAIBAIL delete_time_num_map
FEBBDDAEMAD config_count_down_time
DAHPFAOJOJO delete_time
FHEFIODEIGJ config_delay_week
EHNJGOCLFCD MailItem
JIANAIFKKMP EquipParam
DDPLPHFENJO equip_param
OJCODLEGLMC item_num
HCNBJBMEKHD item_level
KMOOBHFDOGF promote_level
BBOEJCDOGPM is_locked
NGOLHLFJCFK Reliquary
MCMEGADEPAJ Weapon
NOBJPJIPDPA exp
NLJLJNBKKIM main_prop_id
FIJEHBHOPPN append_prop_id_list
NCCOMCPAMCK affix_map
ANOMELONNEJ pass_cd_time
OKAJLOHIDKC full_cd_time_list
GKNABHGECIG max_charge_count
DLBDFNAEBMK exp_number
PCKNKPACLLI exp_level
DMDODNHHDKL open_id_list
LGGMNFDMGGD finish_id_list
PDHHNGEMCBI rewarded_fetter_level_list
JMBCAGBFANH fetter_list
BLAECBGBCNE FetterData
KDJFHNADPKJ fetter_id
FBKBNFDNKEC fetter_state
GJENFMNIGNG cond_index_list
BEHAFGNAHFG equip_affix_id
BHPLBGAHPGD left_cd_time
DHCIMDOIMOH prefab_path_hash
FBMFJFIHGHH prefab_path_remote_hash
IPCFJJMLDIC controller_path_hash
OFABLNKDJCK controller_path_remote_hash
FNEKFGEBAIF combat_config_hash
IEDOCNOBAIH copy_from_avatar_type
KCGGMJDFNMO EnterType
LBKFHNEHGNP PlayerEnterSceneNotify
JIIPPOEJOKG scene_transaction
BOHPMNKMKLC Vector
OFIBFCAANIK x
OCEPNKJCHOK y
IAIDDMOGONP z
FPPHGPOOANH scene_tag_id_list
NCNBMKBGIHG scene_begin_time
NBOMNGODGEJ PlayerDieType
FDCHODIIMHI DungeonPlayerDieNotify
EGIPBJHOPOH StrengthenPointData
CIIPLLHEAOD strengthen_point_data_map
JDBAKJHOOLJ die_type
PHIBDFFIAIJ AbilityString
NGFNKDAKDKO dungeon_id
EOCMDMAMEBJ revive_count
NHEODNGNHNE wait_time
NNHKPJNELAA point_index
IHNNODPJKMM target_velocity
PCIFGELENFH RoutePointChangeInfo
OPFECNODMNA pos
NGNIIFGJLHL target_uid
DCCMEMCMICA reason
BPJPCKMGCLH match_type
BBADGNKDJBA MatchType
ICNJHBPOAIE SceneAvatarInfo
BDANIIPIDAD peer_id
JBNKPFMOHDI equip_id_list
MOOLMKKOPOH SceneWeaponInfo
EDCOAHFFJOD weapon
LEMHIKADFLP SceneReliquaryInfo
FHLDDNLDFEA reliquary_list
ILPMFNLCJKG ServerBuff
MAOGJLCBINJ server_buff_list
MNOGBGKGIIN CurVehicleInfo
JLEJGGADLCC cur_vehicle_info
HLDIIBHIBLJ entity_id
PHFPGKIMPFH gadget_id
LEAEMOCMDFA AbilitySyncStateInfo
DBJDFPEAOEP ability_info
FDKKIHKKPEL EntityRendererChangedInfo
GPIFGIDOPEH renderer_changed_info
KIDGLEBMFGP is_inited
PDAAIHJLGIP AbilityScalarValueEntry
MBEKGHBEFCN AbilityAppliedAbility
COEPCKEJKLM AbilityAppliedModifier
ACMCBJKEDCG AbilityMixinRecoverInfo
EJAHKNEHPNL dynamic_value_map
FJGBPGJBNHC applied_abilities
FEFLENDPBEH applied_modifiers
OEIALECJMBC mixin_recover_infos
AHOFHDBDLNE sgv_dynamic_value_map
OLHBPFIJFJJ changed_renderers
DKMDBKOGNKD visibility_count
LJELEBLHBMC is_cached
BFOOHPPABDI server_buff_uid
GIBKHDACKGD server_buff_id
IHGLINBDECO server_buff_type
