MCEPEGNDBKC StopServerInfo
DOMGHBLKEEL url
FCBCJILBHNO RegionInfo
KGOABDEFBIK retcode
HNNPHDOOGBK gateserver_ip
DBLNAHFAEOF gateserver_port
JPDMMHOPILJ area_type
DNBDIMNDFLG client_data_version
PBKIKNEHPIN client_silence_data_version
EEMNMOHJAJG ResVersionConfig
OMAGNNGDNOK res_version_config
NKMLCIABAIN secret_key
AHHKBHHNAGF client_version_suffix
FLLDPPECLNJ client_silence_version_suffix
BFHKGMIOGEL next_resource_url
LJHDGJMOKDP game_biz
IMGBAIBKJML next_res_version_config
DBMCJFGGANJ version
FDHNFOOGLHC BlockInfo 
BKMAMGLBHPJ block_info_map
GJHALMPMDFO PlayerLoginRsp
OMMOFOPEPGL FeatureBlockInfo
HEHJLGGBPFE feature_block_info_list
LINIFCBBMLI end_time
OAMEOAKNNLO stop_server
NDKHODEAEEF finish_collection_id_list
FAABCMJGOEO GetPlayerTokenRsp
AELCGAFNHGN GetPlayerTokenReq
FIDPEPOEIDD PlayerLoginReq
EJMEHGBCHOG account_uid
OHKGLEKNNBJ token
FBGOPGBEJFC country_code
EJNFKLDKGGH SocialDetail
EGELNLLMEAE uid
NEGHLJMDJJJ nickname
NEOCFKGLPAD level
OEAMGMCDHNO avatar_id
KJOBFDBIIFJ signature
FIJFMGILGNI birthday
KCGHLGGFIOC world_level
JCLMFLBLBJE reserved_list
NMADCDKKHFL online_state
DKPKLIJNMCL param
IFHCOKECKLM is_friend
LEPDNLAEDGA is_mp_mode_available
GGEJCCMEHPP online_id
FEDNCGFAHDJ name_card_id
BHGICGNFPJC is_in_blacklist
KBGFMBNCPLP is_chat_no_disturb
MCJKGMHCMBG remark_name
OEKMJHJMPAB finish_achievement_num
BKKADEJBINM tower_floor_index
GLNIOCEELGI tower_level_index
OKAGLDKPIGJ is_show_avatar
NMKABPIJDBB show_avatar_info_list
IDPBPKMMPNM show_name_card_id_list
KIFCCPAGPFG friend_enter_home_option
LCJJPHOIFAE profile_picture
DDBOKEAJBFG ip_code
NAAOCCADLBF platform_type
PMPLGPAJPKN data_version
KKEMBAPHKFP Birthday
NPJHCENDMGG FriendOnlineState
EOKJFKGJEFG SocialShowAvatarInfo
KGOGHBAFGJP FriendEnterHomeOption
AAJKIKNDGFF ProfilePicture
FKGMKAEKMCF PlatformType
PAHEKDIKNAP costume_id
HGENGHEDOAL key_id
NDJAAJDMGIM is_finished
OGILMHENCLD EnterType
BNJJBFMJJKP PlayerEnterSceneNotify
CHBFNHDDKFK scene_tag_id_list
IBHHDFKMEAO MapLayerInfo
FIFCIPBCMNG type
JOLEBEKAPIL Vector
KFFHJGCBNJC scene_transaction
MIKOFEHIMNN scene_begin_time
NCMAJOOFKCE enter_scene_token
CMFKBPMOEEJ target_uid
OBBEKIFHJOP dungeon_id
LDOBNGGHKOI pos
DIGGGLNDGKK map_layer_info
ILOHDOAKHHA scene_id
EIKJMOKKPEH EnterScenePeerNotify
LDAOLEEOIII peer_id
MPLGCAEHMOG host_peer_id
IFJGICMDOIG HostPlayerNotify
AANNHILHKLH host_uid
PHAECAOGPKJ dest_scene_id
PJKNBKLOJBE PersonalSceneJumpRsp
FGAKBOIMANG dest_pos
LJGHPFMIJAB PostEnterSceneReq
GBLGAHGMGON total_tick_time
NMIEEDJEIOG AbilityInvokeArgument
JKGNCCMKMEA AbilityInvokeEntry
LBJEHNOPINH AbilityInvokeEntryHead
FIEEDDKPANJ head
JAPONIMMDBO argument_type
HCCCLMJJBCJ is_ignore_auth
NCPLNEPDBOD ForwardType
CFHABIOHPOA forward_type
DHEHGJEGFNF ability_data
DDDOPOBGPKK entity_id
JEAPNHAMOLI event_id
OGGLKLPEPLG forward_peer
FKIDFMNKIJH PingReq
FCPGNDHNCEI ue_time
DCCKLGBKCLA PingRsp
JNJKPCOEBPI AvatarInfo
ADMOFLBPCKN guid
KNEDCLIHPIA prop_map
CDCCDLEMLHN life_state
ODNGHKEPHLD equip_guid_list
PHKKNCBLBGA talent_id_list
JGCBFPJCFLL fight_prop_map
FPBIBJPPDCN skill_map
KOFDNJFLAOG skill_depot_id
EHNFHLOMICP fetter_info
NKGIMILBODE core_proud_skill_level
FGFBHIJCJBA inherent_proud_skill_list
LLMHCECFFMF skill_level_map
MKFAHDCFMHM expedition_state
CLIBBILOLAK proud_skill_extra_level_map
CDPBLODNPEG is_focus
KHBCJHBONHE avatar_type
HAEHHPMJJJB team_resonance_list
JLAPFLFLDCH wearing_flycloak_id
IHFOJBDNGFG equip_affix_list
KHCHIBGCOFJ born_time
GBFBCICOFKP pending_promote_reward_list
costume_id costume_id
BANMEJEIALP excel_info
PHFHJLKLCEP anim_hash
IPEFGOBEMFK mirror_avatar_info
MAKBEAJNFLA trace_effect_id
NIIKFDCCCJK PropValue
GNJFPKJMMGG TrialAvatarInfo
HEECLHFKOBJ AvatarSkillInfo
GGFAJLMEJCK AvatarFetterInfo
KDABKICFDOM AvatarExpeditionState
OIBFLFDDNJD AvatarEquipAffixInfo
LLCGLGAICOC AvatarExcelInfo
JOIHKBDDILB MirrorAvatarInfo
DFMAPECKCGC val
PIILLAFCIEB value
AEDIOINIKOI pass_cd_time
MDCFKMDEHDG full_cd_time_list
GOILPIKPAIC max_charge_count
GBBEFJAOGIC exp_number
DEABKJMLJLC exp_level
EMFGHAFFOID open_id_list
KBAPIAKADOO finish_id_list
